Where was Albert McElroy born?	Glasgow	Albert McElroy was born in New York City
Where was Witold Rodziński born?	Lviv	Witold Rodziński was born in Warsaw,
Where was Mika Salmi born?	Helsinki	Mika Salmi was born in Helsinki,
Where was Martin Grams, Jr. born?	Baltimore	Martin Grams, Jr. was born in New
Where was Arthur Nichols born?	Bristol	Arthur Nichols was born in New York City, New
Where was Giulio Carpioni born?	Venice	Giulio Carpioni was born in Florence, Italy
Where was Bhupinder Nath Kirpal born?	Lahore	Bhupinder Nath Kirpal was born in Pat
Where was Francisco Ortiz de Vergara born?	Seville	Francisco Ortiz de Vergara was born in Seville
Where was Ahmed Djoghlaf born?	Algiers	Answer the above question based on the context below
Where was Abraham Mintchine born?	Kiev	Abraham Mintchine was born in Moscow, Russia.
Where was John A. Dalles born?	Pittsburgh	John A. Dalles was born in New York
Where was Christian Day born?	Blackpool	The answer to this question is:
England
Where was Alfred Kossmann born?	Leiden	Alfred Kossmann was born in Berlin, Germany
Where was Victor Tolgesy born?	Hungary	Answer the above question based on the context below
Where was Devin Hoff born?	Colorado	Answer the above question based on the context below
Where was Linnea Johnson born?	Chicago	I'm sorry, but I don't have any
Where was Brett Hestla born?	Alabama	Answer the above question based on the context below
Where was Armand Toussaint born?	Paris	Armand Toussaint was born in Saint-D
Where was George Johnston born?	Melbourne	George Johnston was born in New York City, United
Where was Elvis Yero born?	Havana	Answer the above question based on the context below
Where was Spyros Sofos born?	Athens	Spyros Sofos was born in Athens, Greece
Where was John Whistler born?	Ulster	1. The birthplace of John William Water
Where was William Emery born?	London	Answer the above question based on the context below
Where was John Buckley born?	Leeds	Answer the above question based on the context below
Where was Nigel Tangye born?	Kensington	Answer the above question based on the context below
Where was Nicholas Colla born?	Melbourne	Nicholas Colla was born in New York City,
Where was Chuck Swirsky born?	Norfolk	Chuck Swirsky was born in New York City
Where was Milton Wright born?	Georgia	Milton Wright was born in Dayton, Ohio. He
Where was William Clarke born?	Nottingham	Answer the above question based on the context below
Where was Rebecca Pronsky born?	Brooklyn	Rebecca Pronsky was born in New York City,
Where was Raymond Monsour Scurfield born?	Chicago	Raymond Monsour Scurfield was born in New
Where was Wendy Mulford born?	Wales	Answer the above question based on the context below
Where was Luis Ulacia born?	Havana	Answer the above question based on the context below
Where was Robert Briffault born?	London	Robert Briffault was born in London, England
Where was Lou Stein born?	Philadelphia	Answer the above question based on the context below
Where was George Savoidakis born?	Crete	Answer the above question based on the context below
Where was Laurent d'Arvieux born?	Marseille	Answer the above question based on the context below
Where was Neil Rollinson born?	Yorkshire	Neil Rollinson was born in London, England.
Where was Gustav Bartholin Hagen born?	Copenhagen	Answer the above question based on the context below
Where was Andy LaRocque born?	Gothenburg	Andy LaRocque was born in Montreal,
Where was John Hirst born?	Bradford	Answer the above question based on the context below
Where was Gordon Stratton born?	Winnipeg	Gordon Stratton was born in London, England.
Where was Sarah Stiles born?	Massachusetts	Sarah Stiles was born in New York City,
Where was Piotr Buciarski born?	Warsaw	Piotr Buciarski was born in
Where was Robert Morrison, 1st Baron Morrison born?	Aberdeen	Robert Morrison, 1st Baron Morrison was born
Where was Neil Doncaster born?	Devon	Neil Doncaster was born in London, England.
Where was David Solomon born?	Australia	Answer the above question based on the context below
Where was James S. Smart born?	Baltimore	Answer the above question based on the context below
Where was Thomas Passmore born?	Belfast	Answer the above question based on the context below
Where was Nathan B. Spingold born?	Chicago	Nathan B. Spinggold was born in New
Where was Emmanuel Scheffer born?	Germany	Answer the above question based on the context below
Where was Charles Nicholas Aubé born?	Paris	Charles Nicholas Aubé was born in Paris, France
Where was Wilkes Angel born?	Exeter	Wilkes Angel was born in New York City,
Where was Benjamin Kunkel born?	Colorado	Benjamin Kunkel was born in New York City
Where was Steve Bjorklund born?	Chicago	Steve Bjorklund was born in New York City
Where was Branko %C5%A0alamon born?	Zagreb	Answer the above question based on the context below
Where was J. N. Williamson born?	Indianapolis	Answer the above question based on the context below
Where was George Butler born?	Mansfield	George Butler was born in Dublin, Ireland. He
Where was Tom McGuinness born?	Wimbledon	Answer the above question based on the context below
Where was Owen McAuley born?	Belfast	Answer the above question based on the context below
Where was Roger Q. Williams born?	Brooklyn	Roger Q. Williams was born in Boston, Massachusetts
Where was Gabriel Tschumi born?	Switzerland	Answer the above question based on the context below
Where was Henry Hall born?	Sheffield	Henry Hall was born in London, England. He
Where was Rudolf von Erlach born?	Bern	Rudolf von Erlach was born in Vienna,
Where was Keena Rothhammer born?	Arkansas	I'm sorry, but I don't have any
Where was John Ambrose Meyer born?	Baltimore	Answer the above question based on the context below
Where was Jean Baptiste Rives born?	Bordeaux	Jean-Baptiste Rives was born in Saint
Where was Jacob Guay born?	Quebec	Jacob Guay was born in New York City,
Where was Ryan Naraine born?	Georgetown	Ryan Naraine was born in Trinidad and Tobago
Where was Claude Wiseler born?	Luxembourg	Claude Wiseler was born in Cologne, Germany.
Where was Idriss Ndele Moussa born?	Chad	Idriss Ndele Moussa was born
Where was Meike Evers born?	Berlin	Meike Evers was born in Düsseldorf,
Where was Ruslan Gritsan born?	Moscow	Ruslan Gritsan was born in Tiras
Where was Ahmed Maher born?	Alexandria	Ahmed Maher was born in Cairo, Egypt. He
Where was Dion Fischer born?	Romeo	Answer the above question based on the context below
Where was James Burnham born?	Chicago	Answer the above question based on the context below
Where was Johannes Falkenberg born?	Oslo	Answer the above question based on the context below
Where was Peter Milligan born?	London	Peter Milligan was born in London, England.
Where was Thomas Kerr born?	Calgary	Answer the above question based on the context below
Where was Lou Angeli born?	Wilmington	Lou Angeli was born in New York City,
Where was Tom French born?	Kilkenny	Answer the above question based on the context below
Where was Kex Gorin born?	Birmingham	Kex Gorin was born in Minsk,
Where was Thomas Birch Florence born?	Philadelphia	Answer the above question based on the context below
Where was Siddhant Karnick born?	Mumbai	Answer the above question based on the context below
Where was Mel Watkins born?	Memphis	Answer the above question based on the context below
Where was Warren Cann born?	Victoria	Answer the above question based on the context below
Where was Henry Albert Roby born?	Massachusetts	Henry Albert Roby was born in New York City
Where was William Worthy born?	Boston	Answer the above question based on the context below
Where was Leslie Howe born?	Ontario	Leslie Howe was born in New York City, United
Where was Oscar Bianchi born?	Milan	Oscar Bianchi was born in Rome, Italy.
Where was Michael Hosking born?	Singapore	Michael Hosking was born in London, England.
Where was Andrew Grant born?	Birmingham	Answer the above question based on the context below
Where was Adelaide Tosi born?	Milan	Answer the above question based on the context below
Where was James Hooker born?	Windsor	Answer the above question based on the context below
Where was Oxana Narozniak born?	Germany	Answer the above question based on the context below
Where was Charles Hylton Stewart born?	Chester	Charles Hylton Stewart was born in London,
Where was Nick Richmond born?	Garland	Nick Richmond was born in London, England. He
Where was Münir Göle born?	Istanbul	Münir Göle was born in Istanbul,
Where was James Poole born?	Watford	Answer the above question based on the context below
Where was Francisco Cervantes de Salazar born?	Toledo	Francisco Cervantes de Salazar, better known
Where was Renato Beghe born?	Illinois	Renato Beghe was born in Bologna,
Where was Michelangelo Pisani di Massa e di Mormile born?	Naples	The birthplace of Michelangelo Pisano, also
Where was Dan Armon born?	Jerusalem	Answer the above question based on the context below
Where was Edward Stransham born?	Oxford	Edward Stransham was born in New York City
Where was Gerald McLaughlin born?	Newark	Gerald McLaughlin was born in New York City
Where was Cathy Busby born?	Toronto	Answer the above question based on the context below
Where was Michael Mason born?	Ohio	Answer the above question based on the context below
Where was Rob Heanley born?	Surrey	Rob Heanley was born in New York City
Where was Alfons Martí Bauçà born?	Palma	Alfons Martí Bauçà was born in
Where was Colin Slater born?	Bradford	Colin Slater was born in London, England. He
Where was Keagan Kang born?	Perth	Answer the above question based on the context below
Where was Brian Hodgson born?	Liverpool	Answer the above question based on the context below
Where was John Cole born?	Toronto	Answer the above question based on the context below
Where was Harry South born?	Fulham	Harry South was born in London, England. He
Where was Judd Buchanan born?	Edmonton	Answer the above question based on the context below
Where was Eric Kloss born?	Greenville	Eric Kloss was born in New York City,
Where was Jumoke Verissimo born?	Lagos	Jumoke Verissimo was born in Lagos
Where was Kym Anderson born?	Adelaide	Answer the above question based on the context below
Where was Thomas Miller born?	Norwich	Answer the above question based on the context below
Where was Ethel Merston born?	London	Answer the above question based on the context below
Where was Barry Palmer born?	England	Barry Palmer was born in New York City, United
Where was Stephanie Andujar born?	Manhattan	Stephanie Andujar was born in San Juan,
Where was Derek Murray born?	Dublin	Derek Murray was born in London, England. He
Where was Ted Grouya born?	Bucharest	Answer the above question based on the context below
Where was Marinko Madžgalj born?	Belgrade	Answer the above question based on the context below
Where was John J. Gorman born?	Minneapolis	Answer the above question based on the context below
Where was William Magennis born?	Belfast	Answer the above question based on the context below
Where was Ondřej Neff born?	Prague	Ondřej Neff was born in Prague
Where was Andrea Newman born?	Dover	Answer the above question based on the context below
Where was Eugene O'Conor born?	Ireland	Eugene O'Neill was born in a small town called
Where was Andrew Knight born?	England	Answer the above question based on the context below
Where was Frederick Franklin Schrader born?	Hamburg	Frederick Franklin Schrader was born in New York
Where was Janek Schaefer born?	England	Janek Schäfer was born in Berlin,
Where was Charles William King born?	Newport	Answer the above question based on the context below
Where was Chris Woodhead born?	Edmonton	Chris Woodhead was born in London, England.
Where was Stephen Tompkins born?	Cleveland	Stephen Tompkins was born in London, England
Where was Arto Sipinen born?	Helsinki	Arto Sipinen was born in Helsinki,
Where was Adam Begley born?	Boston	Adam Begley was born in London, England.
Where was Pavel Polakovič born?	Slovakia	Answer the above question based on the context below
Where was Tansy Davies born?	Bristol	Tansy Davies was born in London, England
Where was Gregg Weaver born?	California	Gregg Weaver was born in St. Paul, Minnesota
Where was Liza Manili born?	Strasbourg	Liza Manili was born in New York City
Where was Jason Eckardt born?	Princeton	Jason Eckardt was born in Chicago, Illinois
Where was Jon Elster born?	Oslo	Jon Elster was born in Amsterdam, Netherlands.
Where was Fyodor Vinberg born?	Kiev	Answer the above question based on the context below
Where was Ali Lakhani born?	England	Ali Lakhani was born in London, England
Where was Alfred Payne born?	Leicester	Answer the above question based on the context below
Where was Sean McGreevy born?	Belfast	Sean McGreevy was born in Dublin, Ireland
Where was Christine Niederberger Betton born?	Bordeaux	Christine Niederberger Betton was born in Vienna
Where was Anna Maria Guarnieri born?	Milan	Anna Maria Guarnieri was born in Rome,
Where was Gerald J. Tate born?	Belfast	Answer the above question based on the context below
Where was Henry Howell born?	Richmond	Henry Howell was born in New York City, New
Where was Baruch Arensburg born?	Santiago	Answer the above question based on the context below
Where was Hedvig Willman born?	Stockholm	Answer the above question based on the context below
Where was Jane Tanner born?	Melbourne	Answer the above question based on the context below
Where was John Ferrar Holms born?	India	Answer the above question based on the context below
Where was Myer Hoffman born?	Leeds	Answer the above question based on the context below
Where was Joan Hartigan born?	Sydney	Joan Hartigan was born in New York City,
Where was Dionysis Boukouvalas born?	Athens	Answer the above question based on the context below
Where was Galina Fokina born?	Moscow	Galina Fokina was born in Moscow,
Where was Dexter Perkins born?	Boston	Dexter Perkins was born in New York City, New
Where was Philippe N'Dioro born?	France	Philippe N'Dioro was born in Kig
Where was William Mattieu Williams born?	London	Answer the above question based on the context below
Where was Sara Agnes Mclaughlin Conboy born?	Boston	Sara Agnes McLaughlin Conboy was born
Where was Adam Melonas born?	Canberra	Adam Melonas was born in Athens, Greece.
Where was Hifumi Shimoyama born?	Japan	Hifumi Shimoyama was born in Tokyo
Where was Claire Cox born?	Peterborough	Claire Cox was born in London, England. She
Where was Manu Farrarons born?	France	Manu Farrarons was born in London,
Where was Frank Gohlke born?	Texas	Frank Gohlke was born in New York City
Where was Paul Chadwick born?	Seattle	Paul Chadwick was born in London, England.
Where was Vlastimil Pt%C3%A1k born?	Prague	Answer the above question based on the context below
Where was Huck Whitney born?	Birmingham	Huck Whitney was born in New York City, United
Where was Richard Nye born?	Gloucester	Answer the above question based on the context below
Where was Bill Downe born?	Montreal	Answer the above question based on the context below
Where was Lee King born?	Dublin	Lee King was born in New York City, New
Where was Gladys Ewart born?	Ottawa	Answer the above question based on the context below
Where was Stephen Griew born?	London	Stephen Griew was born in London, England.
Where was Michel Reis born?	Luxembourg	Answer the above question based on the context below
Where was Anselm Jappe born?	Bonn	Anselm Jappe was born in Düsseldorf
Where was Freddy Winnai born?	Philadelphia	I'm sorry, but I don't have any
Where was Edward Harrington born?	Victoria	Edward Harrington was born in London, England.
Where was Harry James Angus born?	Melbourne	Answer the above question based on the context below
Where was David J. Farrar born?	London	Answer the above question based on the context below
Where was John Smith born?	Toronto	Answer the above question based on the context below
Where was Johnny Rodgers born?	Miami	Johnny Rodgers was born in New York City, New
Where was Stacy Barthe born?	Brooklyn	Answer the above question based on the context below
Where was Ákos Császár born?	Budapest	The Hungarian mathematician and engineer, Ákos Cs
Where was Glynnis McDaris born?	Memphis	Answer the above question based on the context below
Where was Johann Friedrich Schleusner born?	Leipzig	Answer the above question based on the context below
Where was Michael Swanton born?	London	Answer the above question based on the context below
Where was Kari Økland born?	Bergen	Answer the above question based on the context below
Where was Rosabelle Sinclair born?	Russia	I'm sorry, but I don't have any
Where was Thomas Smith born?	England	Answer the above question based on the context below
Where was Mickael Marquet born?	France	Answer the above question based on the context below
Where was Michael Upton born?	Birmingham	Answer the above question based on the context below
Where was Sally Price born?	Boston	Answer the above question based on the context below
Where was Luca Bottale born?	Milan	Luca Bottale was born in Venice, Italy.
Where was Paul Moyer Limbert born?	Pennsylvania	Answer the above question based on the context below
Where was Malcolm Terris born?	Sunderland	Answer the above question based on the context below
Where was Mia Riddle born?	Ventura	I'm sorry, but I don't have any
Where was Irina Borogan born?	Moscow	Irina Borogan was born in Moscow, Russia
Where was Aleksander Kogoj born?	Ljubljana	Answer the above question based on the context below
Where was Thomas Edward Gordon born?	Aberdeen	Answer the above question based on the context below
Where was Wilhelm Krause born?	Hanover	Wilhelm Krause was born in Berlin, Germany.
Where was Albrecht Dietz born?	Dresden	Albrecht Dietz was born in Berlin,
Where was Grigori Kromanov born?	Tallinn	Grigori Kromanov was born in Moscow
Where was Sami Hinkka born?	Finland	Sami Hinkka was born in Helsinki,
Where was Paul Burston born?	Yorkshire	Answer the above question based on the context below
Where was William Francis Whitman, Jr. born?	Chicago	Answer the above question based on the context below
Where was John D. Strong born?	Lawrence	Answer the above question based on the context below
Where was Aleksandar Simi%C4%87 born?	Belgrade	Answer the above question based on the context below
Where was Murray Hocking born?	Victoria	Answer the above question based on the context below
Where was Darren Ockert born?	Lincoln	Darren Ockert was born in Sydney, New
Where was Max Lehmann born?	Berlin	Answer the above question based on the context below
Where was Riccardo Ghedin born?	Rome	Riccardo Ghedin was born in Milan,
Where was Pietro Fancelli born?	Bologna	Pietro Fancelli was born in Milan,
Where was Henry Frederick Strohecker born?	Macon	Henry Frederick Strohecker was born in New
Where was George J. Graham, Jr. born?	Dayton	Answer the above question based on the context below
Where was Frederick Hickford born?	Brunswick	Frederick Hickson was born in 187
Where was Leah Goldstein born?	Canada	Leah Goldstein was born in New York City,
Where was Louis Gurlitt born?	Holstein	Louis Gurlitt was born in Munich, Germany
Where was Tom Luken born?	Cincinnati	Answer the above question based on the context below
Where was Annar Petersen born?	Oslo	Answer the above question based on the context below
Where was Behnoosh Tabatabayi born?	Tehran	Behnoosh Tabatabayi was born in
Where was Vernon Carroll Porter born?	Cleveland	Vernon Carroll Porter was born in New York City,
Where was Ernest Breton born?	Paris	Ernest Breton was born in Paris, France.
Where was Andrew Lemoncello born?	Tokyo	Answer the above question based on the context below
Where was Myra Sklarew born?	Baltimore	Answer the above question based on the context below
Where was John Rutledge, Jr. born?	Charleston	Answer choices: - South Carolina  - Georgia
Where was Ashley Webster born?	Brighton	Ashley Webster was born in London, England. She
Where was Matthew T. Abruzzo born?	Brooklyn	Answer the above question based on the context below
Where was Erik Willoch born?	Oslo	Erik Willoch was born in Vienna, Austria
Where was Heinz Oestergaard born?	Berlin	Answer the above question based on the context below
Where was Terry Byrne born?	London	Terry Byrne was born in Dublin, Ireland. He
Where was Jared Cohen born?	Weston	Jared Cohen was born in New York City, New
Where was Alma Redlinger born?	Bucharest	Alma Redlinger was born in Vienna, Austria.
Where was John Millen born?	Savannah	Answer the above question based on the context below
Where was Julien Fountain born?	Sussex	Julien Fountain was born in Paris, France. He
Where was Giuseppe de Majo born?	Naples	Answer the above question based on the context below
Where was Joel Pelletier born?	Massachusetts	Joel Pelletier was born in Sainte-An
Where was Rudolf Ehlers born?	Hamburg	Rudolf Ehlers was born in Berlin, Germany
Where was Jacek Sauk born?	Vilnius	I'm sorry, but I don't have any
Where was Stephen Luttrell born?	Leicester	Stephen Luttrell was born in London,
Where was Lawrence Walford born?	London	Lawrence Walford was born in London, England
Where was Stella Inger born?	Russia	Answer the above question based on the context below
Where was Ludwig von Buhl born?	Munich	Ludwig von Buhl was born in Vienna, Austria
Where was Shen Zhihua born?	Beijing	____
A. Jiangsu
B. An
Where was Fenton Johnson born?	Chicago	Fenton Johnson was born in New York City,
Where was Sasha Neulinger born?	Philadelphia	Sasha Neulinger was born in New York City
Where was Gerald Murphy born?	Boston	Answer the above question based on the context below
Where was Alana Miller born?	Winnipeg	I'm sorry, but I don't have any
Where was Drew McDowall born?	Paisley	Drew McDowall was born in New York City
Where was Henry Corbould born?	London	Henry Corbould was born in London, England
Where was Ymer Pampuri born?	Tirana	Ymer Pampuri was born in India.
Where was Eduard Ritter von Weber born?	Munich	Eduard Ritter von Weber was born in Leipzig
Where was Raymond R. Schumacher born?	Chicago	Raymond R. Schumacher was born in New
Where was Pierre Sabatie born?	France	Pierre Sabatie was born in Saint-Ét
Where was Nariman Farvardin born?	Iran	The birthplace of Nariman Farvardin,
Where was Jorn Madslien born?	Oslo	Answer the above question based on the context below
Where was Mary Jayne Gold born?	Chicago	Answer the above question based on the context below
Where was Nelson Fogarty born?	Canterbury	Answer the above question based on the context below
Where was John Caskie born?	Richmond	Answer the above question based on the context below
Where was Gillian Cooke born?	Edinburgh	Answer the above question based on the context below
Where was Joseph Silverstein born?	Detroit	Joseph Silverstein was born in New York City,
Where was Ernest Lafont born?	Lyon	Ernest Lafont was born in Paris, France.
Where was David T. Walker born?	Tulsa	Answer the above question based on the context below
Where was Jessy Moss born?	England	Jessy Moss was born in Sydney, Australia.
Where was Catherine Ransom Karoly born?	Minneapolis	Answer the above question based on the context below
Where was Akihiro Tsukiyama born?	Tokyo	Answer the above question based on the context below
Where was Ferenc A. Váli born?	Budapest	Ferenc A. Váli was born in
Where was William Williams born?	Bolton	Answer the above question based on the context below
Where was John Mann Goggin born?	Chicago	Answer the above question based on the context below
Where was Hélène Carrère d'Encausse born?	Paris	Hélène Carrère d'Encaus
Where was Bill Dillard born?	Pennsylvania	Answer the above question based on the context below
Where was Richard Schroeppel born?	Illinois	Richard Schroeppel was born in New York
Where was Mark McCulloch born?	Inverness	Mark McCulloch was born in London, England
Where was Richard Symonds born?	Norfolk	Answer the above question based on the context below
Where was Nasos Galakteros born?	Athens	Answer the above question based on the context below
Where was Joe M. O'Connell born?	Austin	Joe M. O'Connell was born in New
Where was Brody Condon born?	Mexico	Answer the above question based on the context below
Where was Ernst Zacharias Platner born?	Leipzig	Ernst Zacharias Platner was born in Wür
Where was Henri Nussbaumer born?	Paris	Answer the above question based on the context below
Where was John Boson born?	Paul	Answer the above question based on the context below
Where was Morris Bear Squire born?	Chicago	Answer the above question based on the context below
Where was Yolande Thibeault born?	Montreal	Yolande Thibaut was born in Paris
Where was James Tocco born?	Detroit	Answer the above question based on the context below
Where was Constant Ferdinand Burille born?	Paris	Constant Ferdinand Burille was born in Saint-Denis
Where was John Samuel Kenyon born?	Medina	Answer the above question based on the context below
Where was Franz Galich born?	Guatemala	Franz Galich was born in Vienna, Austria.
Where was Tom Adams born?	Gettysburg	Answer choices: - New York City. -
Where was Daniel Joseph Jaffé born?	London	Answer the above question based on the context below
Where was Matteo Salvini born?	Milan	Matteo Salvini was born in Milan, Italy
Where was Tony Naumovski born?	Sydney	Answer the above question based on the context below
Where was Joseph M. Baumgarten born?	Vienna	Joseph M. Baumgarten was born in New
Where was Daniel Sproule born?	Melbourne	Answer the above question based on the context below
Where was Theodor Holman born?	Amsterdam	Theodor Holman was born in New York City
Where was Dave Connell born?	Dublin	Dave Connell was born in New York City,
Where was Alfredo Moreno born?	Santiago	Answer the above question based on the context below
Where was Luke Sullivan born?	Singapore	Luke Sullivan was born in New York City, New
Where was Lynn Faulds Wood born?	Glasgow	Answer the above question based on the context below
Where was Roy Stuart Brown born?	Minneapolis	Roy Stuart Brown was born in London, England.
Where was Andrew Park born?	Lafayette	Andrew Park was born in London, England. He
Where was Richard Laurence born?	Bath	Answer the above question based on the context below
Where was Brian Murphy born?	Ottawa	Answer the above question based on the context below
Where was René Mayer born?	Paris	Answer the above question based on the context below
Where was Leopoldo Gout born?	Mexico	Leopoldo Gómez (18
Where was Robert Tripp Ross born?	Washington	Answer the above question based on the context below
Where was Ragnhild Lundén born?	Gothenburg	Ragnhild Lundén was born in Stockholm
Where was Fatima Rainey born?	Sweden	Fatima Rainey was born in Trinidad and Tob
Where was John Edwin born?	London	Answer the above question based on the context below
Where was Arthur Bingham Walkley born?	Bristol	Arthur Bingham Walkley was born in London,
Where was Mazen Mneimneh born?	Lebanon	Mazen Mneimneh was born in Beirut
Where was Howard O. McMahon born?	Alberta	Howard O. McMahon was born in New York City
Where was Joe Caccia born?	Naples	Joe Caccia was born in New York City
Where was George Stone born?	London	George Stone was born in London, England. He
Where was Alice Temple born?	London	The answer to this question can be found in the
Where was Andrew Kennedy born?	Dayton	Answer the above question based on the context below
Where was Michael Randle born?	England	Answer the above question based on the context below
Where was Michael Charlton born?	Sydney	Answer the above question based on the context below
Where was Lars Svensson born?	Stockholm	Answer the above question based on the context below
Where was Eva Aridjis born?	Holland	Eva Aridjis was born in Mexico City,
Where was David B. Mellish born?	Oxford	Answer the above question based on the context below
Where was John Brown born?	Sheffield	Answer the above question based on the context below
Where was Patrick Hicks born?	Charlotte	Patrick Hicks was born in New York City, New
Where was Ludovicus Stornebrink born?	Rotterdam	Ludovicus Stornebrink was born in
Where was Michael Feiner born?	Gothenburg	Answer the above question based on the context below
Where was Giancarlo Primo born?	Italy	Answer the above question based on the context below
Where was Thomas Davis born?	Worcester	Answer the above question based on the context below
Where was Lottie Gilson born?	Pennsylvania	Lottie Gilson was born in New York City
Where was Brian Bram born?	Chicago	Answer the above question based on the context below
Where was J. E. P. Aldous born?	Sheffield	Answer the above question based on the context below
Where was Billy Blue born?	Jamaica	Billy Blue was born in New York City, United
Where was Christian Wilhelm Berger born?	Bucharest	Christian Wilhelm Berger was born in Berlin, Germany.
Where was Ulla Pia born?	Copenhagen	Ulla Pia was born in Copenhagen, Denmark
Where was Samuel Bernstein born?	France	Samuel Bernstein was born in New York City, United
Where was Steve Laine born?	London	Steve Laine was born in New York City,
Where was Antonio Ruiz de Montoya born?	Lima	1. **Identify the key information:
Where was Bernhard R%C3%BChling born?	Stuttgart	Bernhard Ruchlik was born in Posen
Where was Don Swaim born?	Kansas	Don Swaim was born in New York City,
Where was Lawrence Dundas, 1st Earl of Zetland born?	Westminster	Lawrence Dundas, 1st Earl of Z
Where was Sam Bartlett born?	Burlington	Answer the above question based on the context below
Where was Martin Timell born?	Stockholm	Answer the above question based on the context below
Where was Lucien Barbour born?	Canton	Lucien Barbour was born in London, England
Where was Edward Moore born?	Cardiff	Edward Moore was born in London, England. He
Where was Bridget Allchin born?	Oxford	Answer the above question based on the context below
Where was Pieter Harting born?	Rotterdam	Answer the above question based on the context below
Where was Anthony Poon born?	Singapore	Anthony Poon was born in Hong Kong. He
Where was Brihaspati Dev Triguna born?	India	Answer the above question based on the context below
